,id,room_type,neighbourhood,price,review_scores_rating,review_scores_cleanliness,review_scores_communication
8473,890571106236733855,Entire home/apt,"Athina, Greece",38.0,4.81,4.86,4.86
8474,890654379336650872,Entire home/apt,"Athina, Greece",46.0,4.86,4.95,5.0
8475,890663457746349680,Entire home/apt,"Athina, Greece",90.0,5.0,4.91,5.0
8476,890942962463260740,Entire home/apt,"Athina, Greece",65.0,5.0,5.0,5.0
8477,891009965394800251,Entire home/apt,,152.0,5.0,5.0,5.0
8478,891101119950858252,Entire home/apt,,400.0,,,
8479,891113414149511673,Entire home/apt,,120.0,4.89,4.94,4.94
8480,891125216831349660,Entire home/apt,,93.0,,,
8481,891127810465968720,Entire home/apt,"Athina, Greece",53.0,4.63,4.79,5.0
8482,891128529472171545,Entire home/apt,"Athina, Greece",206.0,5.0,5.0,5.0
8483,891295330896332752,Entire home/apt,"Athens, Attiki, Greece",134.0,5.0,5.0,5.0
8484,891317793150867741,Entire home/apt,"Athina, Greece",55.0,4.17,4.5,4.5
8485,891333771314569985,Entire home/apt,"Athina, Greece",61.0,4.72,4.83,4.83
8486,891351457545199454,Entire home/apt,,79.0,4.94,4.94,5.0
8487,891354968387362655,Entire home/apt,"Athina, Greece",55.0,4.74,4.72,4.84
